"Passenger rail transport by type of transport"

"Total"	"Number of passengers (1000s)"	"Ukraine"	..	..	648869	653177	656485	668287	687645	695129	734204	717461	711123	704078	668979	537407	555356	501495	630959	577432	538569	500839	501429	486810	498683	467825	464816	..	..	445553	..	..	445466	..	427241	429785	429115	425217	389306	389794	389058	..	..
"Total"	"Number of passengers (1000s)"	"United Kingdom"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	718931	708343	738106	..	..	..	..	..	..	..	..	1026000	..	1146412	1235113	1296171	1324316	1366485	..	..	1599484	1679746	1722081	1772563	1757359	..
"Total"	"Number of passengers (1000s)"	"United States"	..	..	..	..	..	..	..	..	..	..	..	..	21145	21979	21583	371610	393600	385827	397397	408619	439958	464885	501750	517249	503930	494264	513293	523434	602281	644613	664832	640886	637806	654156	663286	675181	694624	699528	703101	691301	676176
"Total"	"Number of passengers (1000s)"	"Uzbekistan"	..	..	..	..	..	..	..	..	..	..	..	..	..	15400	20900	18600	22400	15721	14061	14165	15203	13353	14558	..	..	..	..	..	..	..	..	..	..	..	15935	17413	..	20126	20524	21049	22115
"Total"	"Passenger kilometres (millions)"	"Albania"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	223	215	197	168	95	116	121	125	138	123	..	..	73	80	51	40	32	19	18	16	12	8	7	..	..	..
"Total"	"Passenger kilometres (millions)"	"Armenia"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	435	353	166	84	84	52	46	47	48	48	41	..	..	..	..	..	35	..	..	53	55	52	44	50	..	..
"Total"	"Passenger kilometres (millions)"	"Austria"	..	..	..	..	..	..	..	..	..	..	..	..	8575	9208	9561	9342	9202	9628	9689	8140	7971	7997	8206	8240	8300	..	8704	9061	9296	9580	10837	10653	10737	10876	11323	11914	12092	12208	12578	12657	13205
"Total"	"Passenger kilometres (millions)"	"Azerbaijan"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1330	1080	791	558	491	533	422	493	537	584	654	789	878	..	..	1049	1024	917	660	591	609	612	495	448	..	..
"Total"	"Passenger kilometres (millions)"	"Belarus"	..	..	..	..	..	..	..	..	..	..	..	..	16852	15795	18017	19500	16063	12505	11657	12909	13268	16874	17722	15264	14349	..	..	..	..	..	..	7401	..	..	8977	8998	7796	7117	6434	..	..
"Total"	"Passenger kilometres (millions)"	"Belgium"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6694	6638	6757	6788	6980	7097	7354	7755	8038	8260	8265	8676	9150	9607	9932	10403	10493	10565	..	..	..	..	..	..	..	..
"Total"	"Passenger kilometres (millions)"	"Bosnia and Herzegovina"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	28	63	63	63	40	56	51	47	53	53	48	..	..	..	..	..	61	58	55	59	40	34	34	23	29	..
"Total"	"Passenger kilometres (millions)"	"Bulgaria"	..	..	..	..	..	..	..	..	..	..	..	..	7793	4866	5393	5837	5059	4693	5065	5886	4740	3819	3472	2990	2598	2517	2404	2389	2422	2423	2335	2144	2100	2067	1876	1826	1702	1186	1458	1438	..
"Total"	"Passenger kilometres (millions)"	"Canada"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1412	1440	1473	1519	1515	1458	1593	1571	1553	1597	1434	1413	1473	1450	1453	1574	1413	1404	1428	1402	1386	1343	1380	1409	..	..
"Total"	"Passenger kilometres (millions)"	"Croatia"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	951	962	1139	1205	1158	1092	1137	1252	1241	1195	1163	1213	1266	1362	1611	1810	1835	1742	1486	1104	948	927	951	836	745	..
"Total"	"Passenger kilometres (millions)"	"Czechia"	..	..	..	..	..	..	..	..	..	..	..	..	13313	..	..	8548	8481	8023	8111	7721	7018	6957	7300	7299	6597	6518	6590	6667	6922	6900	6803	6503	6591	6714	7265	7601	7797	8298	8843	9498	..
"Total"	"Passenger kilometres (millions)"	"Denmark"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4700	5773	..	4621	4978	5163	5113	5327	5521	5479	..	..	..	5903	5992	6096	6161	6586	7076	7026	6332	6291	6282	6119	6061	..
"Total"	"Passenger kilometres (millions)"	"Estonia"	..	..	..	..	..	..	..	..	..	..	..	..	1510	1273	950	722	537	421	309	262	236	238	261	183	177	182	193	248	257	273	273	249	247	243	235	223	280	286	316	366	417
